HS-6 code,품목명,국가
852412,유기발광다이오드(오엘이디)의 것,VN
854232,메모리,VN
854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],VN
271019,기타,VN
854239,기타,VN
852990,기타,VN
853400,인쇄회로,VN
851779,기타,VN
854149,기타,VN
850760,리튬이온 축전지,VN
847989,기타,VN
330499,기타,VN
853669,기타,VN
870899,기타,VN
852491,액정의 것,VN
391990,기타,VN
852492,유기발광다이오드(오엘이디)의 것,VN
853890,기타,VN
854449,기타,VN
853690,그 밖의 기기,VN
847330,제8471호에 해당하는 기계의 부분품과 부속품,VN
390769,기타,VN
390210,폴리프로필렌,VN
390130,에틸렌-초산비닐 공중합체,VN
392690,기타,VN
590320,폴리우레탄의 것,VN
760120,알루미늄 합금,VN
390120,폴리에틸렌(비중이 0.94 이상으로 한정한다),VN
900190,기타,VN
854129,기타,VN
903180,그 밖의 기기,VN
390230,프로필렌 공중합체,VN
600410,"탄성사의 함유중량이 전 중량의 100분의 5 이상이며, 고무실은 함유하지 않은 것",VN
740311,음극과 음극의 형재,VN
900120,편광재료(polarizing material)로 만든 판,VN
760612,알루미늄 합금으로 만든 것,VN
732690,기타,VN
392062,폴리(에틸렌테레프탈레이트)로 만든 것,VN
853224,세라믹 유전체의 것(다층),VN
903149,기타,VN
847990,부분품,VN
390140,에틸렌-알파-올레핀 공중합체(비중이 0.94 미만으로 한정한다),VN
621790,부분품,VN
903190,부분품과 부속품,VN
850450,그 밖의 유도자,VN
600622,염색한 것,VN
870323,"실린더용량이 1,500시시 초과 3,000시시 이하인 것",VN
790112,아연의 함유량이 전 중량의 100분의 99.99 미만인 것,VN
854233,증폭기,VN
780110,정제한 납,VN
